,sna,tot,sbi,sarea,mday,ar,bemp,act
271,YouBike2.0_梅林新村,15,0,士林區,2023-06-10 10:57:04,至善路一段/至善路一段138巷(北側),15,1
274,YouBike2.0_重慶北葫東街口,15,5,士林區,2023-06-10 13:01:00,重慶北路四段177號(前),10,1
283,YouBike2.0_泰北高中,16,3,士林區,2023-06-10 13:30:39,福林路240號(前),13,1
284,YouBike2.0_後港公園,15,3,士林區,2023-06-10 14:19:13,通河東街二段26號(旁公園),12,1
286,YouBike2.0_社子島島頭公園,15,4,士林區,2023-06-10 13:43:14,延平北路九段323號(後方堤外),11,1
295,YouBike2.0_蘭雅國小,27,4,士林區,2023-06-10 14:14:14,礦溪街與中山北路六段195巷口,23,1
296,YouBike2.0_中正基河路口,28,3,士林區,2023-06-10 14:05:15,中正路420號前,25,1
298,YouBike2.0_至善臨溪路口,22,5,士林區,2023-06-10 13:45:15,至善路一段/臨溪路(西南側),17,1
302,YouBike2.0_雨農橋,16,1,士林區,2023-06-10 13:35:14,福志路14巷42號(對面),14,1
305,YouBike2.0_至誠雨聲街口,9,0,士林區,2023-06-10 12:50:13,至誠路二段與雨聲街口東北側,9,1
306,YouBike2.0_捷運線型公園(後街),13,3,士林區,2023-06-10 14:09:14,後街15號旁,10,1
307,YouBike2.0_天母公園,12,0,士林區,2023-06-10 13:30:28,中山北路七段141巷30號對側,12,1
309,YouBike2.0_文林福華路口,19,2,士林區,2023-06-10 14:19:13,文林路 / 福華路口(東側),17,1
313,YouBike2.0_德行東山路口,12,0,士林區,2023-06-10 13:59:03,德行東路/東山路(西北側),12,1
315,YouBike2.0_葫蘆國小(延平北路五段285巷),15,1,士林區,2023-06-10 14:12:14,環河北路三段/延平北路五段285巷,14,1
316,YouBike2.0_社子市場,15,5,士林區,2023-06-10 13:35:14,延平北路六段67號旁,10,1
317,YouBike2.0_士林區農會社子分部,8,2,士林區,2023-06-10 14:18:14,社子街162號旁,6,1
323,YouBike2.0_中山福國路口,14,0,士林區,2023-05-29 11:56:14,中山北路五段837號前,14,0
331,YouBike2.0_士商路40巷口,15,5,士林區,2023-06-10 14:16:15,士商路40巷2號旁,10,1
334,YouBike2.0_美崙公園,13,0,士林區,2023-06-10 14:13:04,美崙街118號斜對面人行道,13,1
337,YouBike2.0_美崙公園(東北側),15,2,士林區,2023-06-10 14:04:14,文林路587巷115號對側,13,1
346,YouBike2.0_景福街/羅斯福路6段142巷口,28,0,文山區,2023-06-10 14:16:03,景福街/羅斯福路6段142巷口,28,1
348,YouBike2.0_興福國中,25,2,文山區,2023-06-10 14:16:15,福興路95巷/福興路63巷4弄口,23,1
351,YouBike2.0_景美醫院,18,4,文山區,2023-06-10 14:14:14,羅斯福路六段280號(前),14,1
352,YouBike2.0_師範大學公館校區,14,0,文山區,2023-06-10 13:58:04,汀州路四段77號(旁),14,1
354,YouBike2.0_仙跡岩登山口(景興路),22,5,文山區,2023-06-10 14:09:14,景興街239號(前),17,1
356,YouBike2.0_捷運動物園站,18,3,文山區,2023-06-10 14:12:14,新光路二段30號(對面),15,1
358,YouBike2.0_捷運萬芳社區站,31,2,文山區,2023-06-10 14:16:15,萬芳路60號(西側廣場),29,1
359,YouBike2.0_文山運動中心,20,4,文山區,2023-06-10 14:14:14,興隆路三段/興隆路三段192巷8弄,16,1
375,YouBike2.0_木新路3段95巷口,16,2,文山區,2023-06-10 14:09:14,木新路三段95巷30號(對面),14,1
377,YouBike2.0_實踐國中,14,2,文山區,2023-06-10 11:41:15,忠順街一段2號(旁),11,1
378,YouBike2.0_指南路3段2巷,13,0,文山區,2023-06-10 14:02:04,指南路三段4號(旁),13,1
380,YouBike2.0_木柵社會住宅,12,5,文山區,2023-06-10 14:11:15,久康街24巷46號對側,7,1
